[3/18] arch1_3conv_narrow__vgg_td512 | teacher=vgg dim=512 convs=3
  trainable params: 77,877
resnet50] epoch 33 | train_loss 2.87837 | train_acc 0.3877 | val_loss 2.14820 | val_acc 0.3723 | enc_lr 1.18e-05 | cls_lr 5.54e-05
resnet50] epoch 34 | train_loss 2.86293 | train_acc 0.3874 | val_loss 2.15352 | val_acc 0.3587 | enc_lr 8.57e-06 | cls_lr 3.90e-05
resnet50] epoch 35 | train_loss 2.87420 | train_acc 0.3886 | val_loss 2.14089 | val_acc 0.3804 | enc_lr 5.87e-06 | cls_lr 2.54e-05
resnet50] epoch 36 | train_loss 2.86949 | train_acc 0.3925 | val_loss 2.14412 | val_acc 0.3777 | enc_lr 3.75e-06 | cls_lr 1.48e-05
resnet50] epoch 37 | train_loss 2.85934 | train_acc 0.3856 | val_loss 2.14647 | val_acc 0.3696 | enc_lr 2.23e-06 | cls_lr 7.15e-06
resnet50] epoch 38 | train_loss 2.83972 | train_acc 0.3919 | val_loss 2.13896 | val_acc 0.3777 | enc_lr 1.31e-06 | cls_lr 2.54e-06
resnet50] epoch 39 | train_loss 2.83023 | train_acc 0.3865 | val_loss 2.13760 | val_acc 0.3777 | enc_lr 1.00e-06 | cls_lr 1.00e-06
  best val_acc = 0.3859 -> arch2_3conv__resnet_td2048.pth
====================================================================================================
[5/18] arch2_3conv__convnext_td1024 | teacher=convnext dim=1024 convs=3
  trainable params: 267,333
convnext_base] epoch 00 | train_loss 7.93402 | train_acc 0.0806 | val_loss 3.12438 | val_acc 0.1277 | enc_lr 2.00e-04 | cls_lr 9.98e-04
convnext_base] epoch 01 | train_loss 7.32392 | train_acc 0.1277 | val_loss 2.95567 | val_acc 0.1413 | enc_lr 1.99e-04 | cls_lr 9.94e-04
convnext_base] epoch 02 | train_loss 7.01237 | train_acc 0.1646 | val_loss 2.92670 | val_acc 0.1712 | enc_lr 1.97e-04 | cls_lr 9.86e-04
convnext_base] epoch 03 | train_loss 6.86141 | train_acc 0.1721 | val_loss 2.75844 | val_acc 0.2011 | enc_lr 1.95e-04 | cls_lr 9.76e-04
convnext_base] epoch 04 | train_loss 6.76216 | train_acc 0.2068 | val_loss 2.77578 | val_acc 0.1957 | enc_lr 1.92e-04 | cls_lr 9.62e-04
convnext_base] epoch 05 | train_loss 6.73518 | train_acc 0.2207 | val_loss 2.75529 | val_acc 0.2147 | enc_lr 1.89e-04 | cls_lr 9.46e-04
convnext_base] epoch 06 | train_loss 6.59391 | train_acc 0.2361 | val_loss 2.62102 | val_acc 0.2310 | enc_lr 1.85e-04 | cls_lr 9.26e-04
convnext_base] epoch 07 | train_loss 6.50310 | train_acc 0.2503 | val_loss 2.87006 | val_acc 0.1984 | enc_lr 1.81e-04 | cls_lr 9.05e-04
convnext_base] epoch 08 | train_loss 6.45591 | train_acc 0.2588 | val_loss 3.01304 | val_acc 0.1902 | enc_lr 1.76e-04 | cls_lr 8.80e-04
convnext_base] epoch 09 | train_loss 6.42671 | train_acc 0.2591 | val_loss 2.57023 | val_acc 0.2500 | enc_lr 1.71e-04 | cls_lr 8.54e-04
convnext_base] epoch 10 | train_loss 6.34671 | train_acc 0.2678 | val_loss 2.79511 | val_acc 0.2391 | enc_lr 1.65e-04 | cls_lr 8.25e-04
convnext_base] epoch 11 | train_loss 6.27645 | train_acc 0.2808 | val_loss 2.49546 | val_acc 0.2663 | enc_lr 1.59e-04 | cls_lr 7.94e-04
convnext_base] epoch 12 | train_loss 6.25197 | train_acc 0.2723 | val_loss 2.43887 | val_acc 0.3152 | enc_lr 1.52e-04 | cls_lr 7.61e-04
convnext_base] epoch 13 | train_loss 6.19777 | train_acc 0.2923 | val_loss 2.46584 | val_acc 0.2853 | enc_lr 1.46e-04 | cls_lr 7.27e-04
convnext_base] epoch 14 | train_loss 6.13895 | train_acc 0.2968 | val_loss 2.69115 | val_acc 0.2337 | enc_lr 1.39e-04 | cls_lr 6.92e-04
convnext_base] epoch 15 | train_loss 6.07824 | train_acc 0.3074 | val_loss 2.48373 | val_acc 0.2880 | enc_lr 1.31e-04 | cls_lr 6.55e-04
convnext_base] epoch 16 | train_loss 6.07135 | train_acc 0.3146 | val_loss 2.39463 | val_acc 0.2908 | enc_lr 1.24e-04 | cls_lr 6.17e-04
convnext_base] epoch 17 | train_loss 6.03850 | train_acc 0.3191 | val_loss 2.33247 | val_acc 0.3261 | enc_lr 1.16e-04 | cls_lr 5.79e-04
convnext_base] epoch 18 | train_loss 5.98121 | train_acc 0.3336 | val_loss 2.38304 | val_acc 0.2962 | enc_lr 1.08e-04 | cls_lr 5.40e-04
convnext_base] epoch 19 | train_loss 5.96552 | train_acc 0.3282 | val_loss 2.53105 | val_acc 0.2609 | enc_lr 1.01e-04 | cls_lr 5.00e-04
convnext_base] epoch 20 | train_loss 5.96471 | train_acc 0.3357 | val_loss 2.43532 | val_acc 0.2908 | enc_lr 9.27e-05 | cls_lr 4.61e-04
convnext_base] epoch 21 | train_loss 5.91459 | train_acc 0.3382 | val_loss 2.35518 | val_acc 0.2853 | enc_lr 8.49e-05 | cls_lr 4.22e-04
convnext_base] epoch 22 | train_loss 5.90682 | train_acc 0.3333 | val_loss 2.31287 | val_acc 0.3125 | enc_lr 7.73e-05 | cls_lr 3.84e-04
convnext_base] epoch 23 | train_loss 5.86999 | train_acc 0.3502 | val_loss 2.32966 | val_acc 0.2935 | enc_lr 6.98e-05 | cls_lr 3.46e-04
convnext_base] epoch 24 | train_loss 5.85098 | train_acc 0.3430 | val_loss 2.34639 | val_acc 0.3261 | enc_lr 6.24e-05 | cls_lr 3.09e-04
convnext_base] epoch 25 | train_loss 5.82029 | train_acc 0.3563 | val_loss 2.31128 | val_acc 0.3234 | enc_lr 5.53e-05 | cls_lr 2.74e-04
convnext_base] epoch 26 | train_loss 5.81574 | train_acc 0.3490 | val_loss 2.28357 | val_acc 0.3342 | enc_lr 4.85e-05 | cls_lr 2.40e-04
convnext_base] epoch 27 | train_loss 5.77605 | train_acc 0.3524 | val_loss 2.28910 | val_acc 0.3397 | enc_lr 4.20e-05 | cls_lr 2.07e-04
convnext_base] epoch 28 | train_loss 5.74626 | train_acc 0.3599 | val_loss 2.24022 | val_acc 0.3478 | enc_lr 3.59e-05 | cls_lr 1.76e-04
convnext_base] epoch 29 | train_loss 5.76204 | train_acc 0.3641 | val_loss 2.24263 | val_acc 0.3370 | enc_lr 3.01e-05 | cls_lr 1.47e-04
convnext_base] epoch 30 | train_loss 5.75602 | train_acc 0.3623 | val_loss 2.23173 | val_acc 0.3397 | enc_lr 2.48e-05 | cls_lr 1.21e-04
convnext_base] epoch 31 | train_loss 5.75267 | train_acc 0.3675 | val_loss 2.22019 | val_acc 0.3451 | enc_lr 2.00e-05 | cls_lr 9.64e-05
convnext_base] epoch 32 | train_loss 5.71432 | train_acc 0.3690 | val_loss 2.24948 | val_acc 0.3533 | enc_lr 1.57e-05 | cls_lr 7.46e-05
convnext_base] epoch 33 | train_loss 5.69363 | train_acc 0.3641 | val_loss 2.23509 | val_acc 0.3424 | enc_lr 1.18e-05 | cls_lr 5.54e-05
convnext_base] epoch 34 | train_loss 5.73470 | train_acc 0.3641 | val_loss 2.21951 | val_acc 0.3478 | enc_lr 8.57e-06 | cls_lr 3.90e-05
convnext_base] epoch 35 | train_loss 5.72743 | train_acc 0.3699 | val_loss 2.22514 | val_acc 0.3587 | enc_lr 5.87e-06 | cls_lr 2.54e-05
convnext_base] epoch 36 | train_loss 5.70002 | train_acc 0.3708 | val_loss 2.21829 | val_acc 0.3397 | enc_lr 3.75e-06 | cls_lr 1.48e-05
convnext_base] epoch 37 | train_loss 5.66854 | train_acc 0.3623 | val_loss 2.22539 | val_acc 0.3533 | enc_lr 2.23e-06 | cls_lr 7.15e-06
convnext_base] epoch 38 | train_loss 5.71659 | train_acc 0.3671 | val_loss 2.21974 | val_acc 0.3478 | enc_lr 1.31e-06 | cls_lr 2.54e-06
convnext_base] epoch 39 | train_loss 5.68962 | train_acc 0.3714 | val_loss 2.21866 | val_acc 0.3505 | enc_lr 1.00e-06 | cls_lr 1.00e-06
  best val_acc = 0.3587 -> arch2_3conv__convnext_td1024.pth
====================================================================================================
[6/18] arch2_3conv__vgg_td512 | teacher=vgg dim=512 convs=3
  trainable params: 182,341
vgg16] epoch 00 | train_loss 35.53213 | train_acc 0.0565 | val_loss 3.38358 | val_acc 0.1033 | enc_lr 2.00e-04 | cls_lr 9.98e-04
